日期,平均氣溫(℃),溫差(℃),平均相對溼度(%),日照時數(小時),降水時數(小時),日累積降水量(mm)
2010-01-01,17.3,9.6,68.0,5.0,0.0,0.0
2010-01-02,18.5,8.9,75.0,2.2,2.6,6.0
2010-01-03,18.2,5.5,73.0,4.7,2.5,1.5
2010-01-04,18.9,8.1,70.0,7.1,0.0,0.0
2010-01-05,17.9,8.0,71.0,4.2,0.0,0.0
2010-01-06,16.5,4.7,73.0,0.1,0.0,0.0
2010-01-07,17.1,7.1,71.0,3.1,0.0,0.0
2010-01-08,15.6,6.0,76.0,1.7,3.3,4.0
2010-01-09,16.2,8.9,75.0,5.2,0.0,0.0
2010-01-10,18.4,12.7,67.0,9.3,0.0,0.0
2010-01-11,18.1,8.9,71.0,8.3,0.0,0.0
2010-01-12,13.6,7.5,71.0,5.3,0.2,0.0
2010-01-13,13.5,11.2,48.0,8.8,0.0,0.0
2010-01-14,14.8,10.2,57.0,9.1,0.0,0.0
2010-01-15,16.2,9.5,68.0,8.9,0.0,0.0
2010-01-16,17.2,9.6,70.0,9.3,0.0,0.0
2010-01-17,17.9,10.7,73.0,8.9,0.0,0.0
2010-01-18,18.4,8.7,75.0,9.2,0.0,0.0
2010-01-19,19.8,9.7,73.0,7.6,0.0,0.0
2010-01-20,22.3,10.0,63.0,8.2,0.0,0.0
2010-01-21,22.8,9.6,64.0,6.0,0.0,0.0
2010-01-22,18.9,8.1,71.0,5.3,0.0,0.0
2010-01-23,17.9,7.0,71.0,5.6,0.0,0.0
2010-01-24,19.6,9.5,73.0,8.1,0.0,0.0
2010-01-25,19.2,9.4,77.0,1.0,0.0,0.0
2010-01-26,17.1,7.2,73.0,0.2,0.0,0.0
2010-01-27,19.8,9.5,73.0,8.1,0.0,0.0
2010-01-28,21.4,9.1,73.0,2.5,0.0,0.0
2010-01-29,20.5,8.7,77.0,6.0,0.0,0.0
2010-01-30,21.0,8.7,74.0,7.3,0.0,0.0
2010-01-31,23.2,8.7,70.0,9.8,0.0,0.0
2010-02-01,23.1,7.5,71.0,8.7,0.0,0.0
2010-02-02,20.9,7.9,74.0,6.4,0.0,0.0
2010-02-03,19.5,7.2,74.0,7.9,0.0,0.0
2010-02-04,19.8,7.5,73.0,8.6,0.0,0.0
2010-02-05,19.6,7.2,73.0,6.5,0.0,0.0
2010-02-06,19.7,7.1,76.0,3.0,0.0,0.0
2010-02-07,21.3,8.4,73.0,5.8,0.0,0.0
2010-02-08,22.0,7.6,73.0,3.4,0.0,0.0
2010-02-09,22.9,9.0,77.0,6.9,0.0,0.0
2010-02-10,25.4,8.1,72.0,10.2,0.0,0.0
2010-02-11,26.2,7.3,70.0,10.6,0.0,0.0
2010-02-12,18.4,11.4,76.0,0.7,2.8,11.0
2010-02-13,15.5,6.6,75.0,1.3,0.0,0.0
2010-02-14,19.5,9.8,72.0,7.1,0.0,0.0
2010-02-15,19.3,10.2,71.0,8.0,1.7,1.5
2010-02-16,14.1,2.8,80.0,0.0,3.5,2.0
2010-02-17,13.9,3.9,79.0,0.0,2.1,1.5
2010-02-18,12.7,4.1,79.0,0.0,5.9,2.0
2010-02-19,11.8,2.3,87.0,0.0,12.2,14.0
2010-02-20,16.1,9.7,74.0,7.0,0.0,0.0
2010-02-21,18.2,8.9,73.0,3.0,0.0,0.0
2010-02-22,18.5,6.6,73.0,1.8,0.0,0.0
2010-02-23,20.3,12.0,69.0,10.4,0.0,0.0
2010-02-24,23.3,9.9,63.0,10.5,0.0,0.0
2010-02-25,25.4,5.9,67.0,5.3,0.0,0.0
2010-02-26,25.6,6.0,73.0,7.1,0.0,0.0
2010-02-27,25.5,5.4,75.0,5.6,0.0,0.0
2010-02-28,25.9,6.3,73.0,7.8,0.0,0.0
2010-03-01,25.6,8.2,70.0,10.2,0.0,0.0
2010-03-02,25.9,7.7,72.0,3.9,0.0,0.0
2010-03-03,24.6,7.0,69.0,5.5,0.0,0.0
2010-03-04,26.2,8.1,71.0,10.3,0.0,0.0
2010-03-05,26.1,6.2,73.0,8.8,0.0,0.0
2010-03-06,26.8,8.9,67.0,10.7,0.0,0.0
2010-03-07,23.1,10.8,67.0,9.1,0.0,0.0
2010-03-08,21.4,10.4,65.0,6.6,0.0,0.0
2010-03-09,15.9,7.1,67.0,0.2,0.5,0.3
2010-03-10,13.7,7.1,53.0,3.4,0.0,0.0
2010-03-11,16.9,13.1,58.0,9.6,0.0,0.0
2010-03-12,20.5,9.5,62.0,1.0,0.0,0.0
2010-03-13,24.3,9.8,64.0,6.9,0.0,0.0
2010-03-14,26.4,8.3,67.0,9.1,0.0,0.0
2010-03-15,26.5,6.1,73.0,8.7,0.0,0.0
2010-03-16,21.1,7.0,67.0,3.6,0.0,0.0
2010-03-17,21.4,8.1,65.0,4.7,0.0,0.0
2010-03-18,22.3,10.4,66.0,8.4,0.0,0.0
2010-03-19,24.0,8.9,68.0,7.6,0.0,0.0
2010-03-20,25.7,8.1,71.0,9.5,0.0,0.0
2010-03-21,25.0,6.4,72.0,2.1,0.0,0.0
2010-03-22,24.9,7.0,67.0,3.5,0.0,0.0
2010-03-23,26.4,9.2,70.0,10.5,0.0,0.0
2010-03-24,26.5,5.4,75.0,6.6,0.0,0.0
2010-03-25,18.8,10.5,67.0,1.1,0.0,0.0
2010-03-26,17.9,8.5,60.0,0.6,0.0,0.0
2010-03-27,19.7,11.1,62.0,9.4,0.0,0.0
2010-03-28,20.6,9.1,62.0,5.9,0.0,0.0
2010-03-29,21.8,10.9,57.0,8.2,0.0,0.0
2010-03-30,22.1,7.3,68.0,5.8,0.0,0.0
2010-03-31,23.7,8.8,61.0,8.5,0.0,0.0
2010-04-01,25.3,8.0,67.0,9.9,0.0,0.0
2010-04-02,23.6,9.6,72.0,2.9,0.0,0.0
2010-04-03,21.6,9.3,70.0,3.1,0.0,0.0
2010-04-04,22.7,8.1,74.0,5.0,0.0,0.0
2010-04-05,23.8,7.7,73.0,5.7,0.0,0.0
2010-04-06,24.5,6.9,76.0,0.4,0.1,0.0
2010-04-07,22.4,8.5,70.0,3.8,2.1,2.0
2010-04-08,19.8,5.7,71.0,0.0,0.3,0.1
2010-04-09,21.9,10.7,71.0,11.1,0.0,0.0
2010-04-10,24.0,12.0,67.0,10.3,0.0,0.0
2010-04-11,26.8,8.5,66.0,9.0,0.0,0.0
2010-04-12,27.8,9.4,66.0,10.8,0.0,0.0
2010-04-13,26.5,12.9,67.0,9.8,0.0,0.0
2010-04-14,23.0,9.0,67.0,10.1,0.0,0.0
2010-04-15,20.3,8.6,72.0,2.4,1.8,1.0
