Week,Town,Mean(R),Quantile.0.025(R),Quantile.0.975(R)
2011-01-03,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-01-10,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-01-17,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-01-24,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-01-31,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-02-07,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-02-14,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-02-21,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-02-28,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-03-07,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-03-14,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-03-21,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-03-28,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-04-04,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-04-11,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-04-18,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-04-25,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-05-02,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-05-09,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-05-16,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-05-23,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-05-30,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-06-06,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-06-13,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-06-20,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-06-27,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-07-04,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-07-11,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-07-18,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-07-25,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-08-01,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-08-08,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-08-15,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-08-22,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-08-29,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-09-05,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-09-12,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-09-19,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-09-26,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-10-03,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-10-10,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-10-17,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-10-24,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-10-31,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-11-07,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-11-14,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-11-21,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-11-28,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-12-05,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-12-12,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-12-19,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2011-12-26,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-01-02,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-01-09,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-01-16,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-01-23,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-01-30,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-02-06,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-02-13,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-02-20,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-02-27,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-03-05,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-03-12,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-03-19,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-03-26,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-04-02,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-04-09,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-04-16,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-04-23,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-04-30,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-05-07,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-05-14,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-05-21,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-05-28,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-06-04,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-06-11,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-06-18,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-06-25,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-07-02,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-07-09,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-07-16,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-07-23,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-07-30,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-08-06,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-08-13,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-08-20,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-08-27,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-09-03,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-09-10,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-09-17,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-09-24,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-10-01,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-10-08,七股區,0.8664838352989548,0.022596661898168318,3.184210513741605
2012-10-15,七股區,0.14989324226390796,0.0037235269936758087,0.5582263673058715
2012-10-22,七股區,0.006367965058869987,2.243234134426433e-161,0.030017287223883294
2012-10-29,七股區,0.00809037972552923,2.8499867372072625e-161,0.03813639831977778
2012-11-05,七股區,0.009770172289401618,3.441724911521759e-161,0.04605459752472889
2012-11-12,七股區,0.009996556525233421,3.5214729692794855e-161,0.047121726594549586
2012-11-19,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-11-26,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-12-03,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-12-10,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-12-17,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-12-24,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2012-12-31,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-01-07,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-01-14,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-01-21,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-01-28,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-02-04,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-02-11,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-02-18,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-02-25,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-03-04,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-03-11,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-03-18,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-03-25,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-04-01,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-04-08,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-04-15,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-04-22,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-04-29,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-05-06,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-05-13,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-05-20,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-05-27,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-06-03,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-06-10,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-06-17,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-06-24,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-07-01,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-07-08,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-07-15,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-07-22,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-07-29,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-08-05,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-08-12,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-08-19,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-08-26,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-09-02,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-09-09,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-09-16,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
2013-09-23,七股區,0.01,3.5226859973137185e-161,0.047137958431590306
