Date,Temp_Mean,Temp_Max,Temp_Min,Rainfall_Sum
2010-01-01,18.2,21.4,15.6,0.0
2010-01-02,19.0,22.8,15.7,0.0
2010-01-03,18.2,21.4,16.6,1.4
2010-01-04,18.8,22.2,16.6,0.0
2010-01-05,18.9,23.0,16.5,0.0
2010-01-06,17.8,19.2,16.7,0.0
2010-01-07,18.3,20.9,17.0,0.3
2010-01-08,16.6,17.8,15.2,5.1
2010-01-09,17.5,21.8,14.0,0.0
2010-01-10,18.8,24.0,16.1,0.0
2010-01-11,18.5,22.7,15.8,0.0
2010-01-12,15.2,16.7,13.0,0.0
2010-01-13,15.0,18.6,13.0,0.0
2010-01-14,15.2,19.4,11.5,0.0
2010-01-15,15.9,20.4,11.2,0.0
2010-01-16,17.7,21.9,13.6,0.0
2010-01-17,18.6,22.6,15.1,0.0
2010-01-18,18.9,22.4,16.1,0.1
2010-01-19,20.0,24.5,16.7,0.1
2010-01-20,21.3,26.5,16.8,0.0
2010-01-21,21.8,26.8,18.0,0.0
2010-01-22,19.4,22.7,17.5,0.2
2010-01-23,18.6,22.3,16.6,0.1
2010-01-24,19.8,23.9,17.3,0.0
2010-01-25,19.3,22.5,16.6,2.2
2010-01-26,18.6,21.9,16.2,1.4
2010-01-27,19.8,23.4,16.4,0.0
2010-01-28,20.9,24.9,18.1,0.0
2010-01-29,20.9,25.7,17.7,0.0
2010-01-30,21.3,25.8,17.7,0.0
2010-01-31,21.7,26.5,17.0,0.0
2010-02-01,21.5,26.2,17.4,0.0
2010-02-02,20.8,25.0,18.4,0.0
2010-02-03,20.2,24.7,17.4,0.0
2010-02-04,20.1,24.2,17.7,0.0
2010-02-05,20.4,25.1,17.1,0.0
2010-02-06,20.8,24.5,18.2,0.5
2010-02-07,21.3,25.4,18.7,0.0
2010-02-08,21.7,25.7,17.8,0.0
2010-02-09,23.2,28.3,18.1,0.0
2010-02-10,24.9,29.5,21.1,0.0
2010-02-11,25.4,29.4,22.6,0.0
2010-02-12,19.9,22.7,15.9,5.2
2010-02-13,18.1,20.6,15.8,3.9
2010-02-14,20.3,24.7,17.0,0.5
2010-02-15,19.2,23.4,16.4,4.8
2010-02-16,16.5,19.7,14.9,11.1
2010-02-17,16.1,18.1,14.9,2.6
2010-02-18,15.0,16.4,14.2,4.1
2010-02-19,14.7,15.5,13.6,5.4
2010-02-20,16.5,19.8,14.4,1.6
2010-02-21,18.2,21.9,15.0,0.1
2010-02-22,19.3,23.8,15.2,0.1
2010-02-23,20.5,25.3,16.6,0.0
2010-02-24,22.0,27.8,15.8,0.0
2010-02-25,24.3,27.2,21.8,0.7
2010-02-26,23.9,26.7,22.4,4.5
2010-02-27,23.7,27.0,20.1,0.5
2010-02-28,23.7,27.4,20.6,0.2
2010-03-01,24.2,28.7,19.4,0.0
2010-03-02,24.6,28.4,21.2,0.0
2010-03-03,23.5,27.6,20.0,0.0
2010-03-04,25.3,29.5,21.8,0.0
2010-03-05,25.3,29.5,21.4,0.0
2010-03-06,25.5,29.9,22.0,0.2
2010-03-07,22.7,26.9,19.4,0.1
2010-03-08,21.6,26.4,18.4,0.0
2010-03-09,16.9,19.4,14.3,4.3
2010-03-10,13.7,15.6,11.9,1.2
2010-03-11,17.0,21.2,13.2,0.0
2010-03-12,19.6,23.8,15.6,2.7
2010-03-13,22.1,26.3,18.7,5.8
2010-03-14,24.6,29.0,20.0,0.6
2010-03-15,25.4,28.9,23.0,0.0
2010-03-16,21.9,24.9,19.6,0.1
2010-03-17,21.3,24.9,19.1,0.1
2010-03-18,22.0,26.6,18.7,0.0
2010-03-19,23.0,27.1,19.2,0.0
2010-03-20,24.9,29.6,20.0,0.0
2010-03-21,24.1,27.4,22.1,0.7
2010-03-22,24.0,28.3,20.6,0.0
2010-03-23,25.1,30.1,19.3,0.0
2010-03-24,26.0,30.1,22.4,0.9
2010-03-25,20.8,23.8,17.1,1.5
2010-03-26,19.5,22.4,17.1,0.5
2010-03-27,20.4,23.9,17.6,0.0
2010-03-28,20.8,24.5,17.7,0.0
2010-03-29,21.6,25.1,19.2,0.0
2010-03-30,21.6,24.6,19.0,0.3
2010-03-31,22.5,26.5,19.8,0.0
2010-04-01,24.2,29.3,18.9,0.0
2010-04-02,23.4,27.7,19.7,0.1
2010-04-03,22.1,26.4,19.3,0.3
2010-04-04,23.1,27.1,19.8,0.0
2010-04-05,24.2,28.7,20.1,1.8
2010-04-06,24.5,29.0,21.8,2.4
2010-04-07,22.9,25.9,20.4,0.0
2010-04-08,21.2,25.2,19.4,8.3
2010-04-09,21.9,26.4,18.8,2.1
2010-04-10,23.5,28.8,19.1,0.0
2010-04-11,25.9,30.8,21.2,0.0
2010-04-12,26.5,30.6,23.1,0.0
2010-04-13,25.7,30.0,22.3,0.0
2010-04-14,23.9,28.3,20.9,0.2
2010-04-15,21.1,24.2,17.9,5.2
2010-04-16,20.6,23.8,17.9,3.7
2010-04-17,22.3,26.5,19.9,4.2
2010-04-18,23.3,27.3,20.9,4.6
2010-04-19,25.5,30.4,20.9,0.3
2010-04-20,26.2,29.6,23.3,0.1
2010-04-21,26.9,30.7,22.9,0.0
2010-04-22,27.1,30.6,24.2,0.0
2010-04-23,22.3,24.5,19.7,15.6
2010-04-24,22.0,23.5,20.5,1.7
2010-04-25,22.6,25.5,20.1,0.1
2010-04-26,23.5,27.6,20.6,0.1
2010-04-27,23.3,25.1,21.6,4.4
2010-04-28,23.3,24.8,22.3,12.7
2010-04-29,24.3,27.1,22.1,9.3
2010-04-30,22.2,25.3,19.2,28.1
2010-05-01,23.6,26.3,20.6,0.0
2010-05-02,24.2,27.1,20.4,0.0
2010-05-03,24.5,27.6,21.0,0.2
2010-05-04,24.5,27.9,21.1,0.0
2010-05-05,26.4,30.5,21.9,0.8
2010-05-06,27.0,30.0,24.2,0.0
2010-05-07,26.9,29.5,25.2,0.3
2010-05-08,26.9,30.0,24.0,3.3
2010-05-09,27.4,29.9,25.4,2.1
2010-05-10,26.4,29.8,24.1,24.7
2010-05-11,25.4,27.9,23.7,7.4
2010-05-12,25.4,28.0,23.4,5.5
2010-05-13,25.9,28.9,23.7,2.5
2010-05-14,25.8,28.9,23.6,4.8
2010-05-15,25.6,29.1,22.9,0.0
2010-05-16,25.9,29.3,23.2,0.0
2010-05-17,26.6,30.1,23.7,0.0
2010-05-18,27.2,30.5,24.0,0.0
2010-05-19,26.8,30.2,23.5,0.0
2010-05-20,26.9,30.4,23.7,0.0
2010-05-21,27.6,30.9,23.7,0.3
2010-05-22,28.5,31.5,26.0,0.1
2010-05-23,26.6,28.3,25.2,80.4
2010-05-24,26.5,29.3,24.5,10.3
2010-05-25,26.7,29.7,24.8,5.3
2010-05-26,27.3,30.4,25.5,4.0
2010-05-27,27.4,30.1,25.3,2.2
2010-05-28,26.2,27.9,25.4,40.2
2010-05-29,25.9,27.8,24.6,47.4
2010-05-30,25.5,26.7,24.6,49.2
