﻿行政區域代碼,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
67000340,正覺里,0125,(四),1330,公園路597巷廣場,23.013992,120.212029,5,2,2,17,0
67000360,華平里,0125,(四),1330,永華八街211號中庭,22.993826,120.172445,1,2,1,3,0
67000350,溪心里,0127,(六),0830,安吉路一段537號廣場,23.050771,120.189467,0,1,1,4,0
67000340,正風里,0130,(二),1330,延平市場,23.013664,120.212992,0,0,0,3,0
67000330,同安里,0314,(三),1330,明興路1275巷內,22.923502,120.185874,1,1,0,6,0
67000370,民權里,0323,(五),1330,和平街巷內,22.997039,120.195897,3,3,3,20,0
67000370,西賢里,0406,(五),1330,西賢街巷內,23.003867,120.178829,3,4,4,9,0
67000320,崇信里,0415,(日),0830,崇學路188巷內,22.9814,120.2256,2,3,0,10,0
67000320,大智里,0415,(日),1330,德東街,22.9616,120.2306,2,3,0,12,0
67000010,太北里,0510,(四),0830,太子宮,23.295,120.2735,1,1,1,3,0
67000350,安富里,0524,(四),1330,溪墘里活動中心,23.0279,120.192,2,2,2,14,0
67000070,南勢里,0608,(五),1330,住處前,23.193,120.2684,0,0,0,11,0
67000310,龍潭里,0626,(二),1330,中山北路上,23.029,120.2683,0,1,1,4,0
67000120,禮化里,0627,(三),0830,交叉路口,23.1928,120.1805,1,1,0,1,0
67000070,埤頭里,0630,(六),1330,空地,23.1913,120.2259,2,2,2,8,0
67000050,長安里,0706,(五),1330,福安寺,23.3322,120.3584,1,1,1,5,0
67000350,公塭里,0718,(三),1330,安中路五段,23.0588,120.1543,0,0,0,6,0
67000310,烏竹里,0731,(二),0830,烏竹北街,23.0451,120.2631,2,1,1,7,0
67000320,龍山里,0813,(一),1330,德光街,22.983,120.2245,2,2,2,13,0
67000050,菁豊里,0821,(二),0830,前菁寮,23.3776,120.3443,0,0,0,1,0
67000230,沙田里,0821,(二),0830,沙田路,23.1104,120.4798,0,0,0,1,0
67000310,復華里,0821,(二),1330,國華街102巷,23.0149,120.2477,1,1,0,5,0
67000320,大學里,0906,(四),1330,大學路15巷,22.996,120.2205,0,1,0,6,0
67000370,大南里,0907,(五),1330,南寧街,22.9848,120.2032,2,5,0,8,0
67000350,安順里,0910,(一),1330,工業區,23.05,120.2209,1,1,1,5,0
67000330,明亮里,0912,(三),0830,金華路一段352巷,22.969,120.1928,3,3,0,20,0
67000120,佳興里,0916,(日),0830,佳里興,23.1896,120.1919,0,1,0,1,0
67000350,大安里,0926,(三),0830,義安街停車場,23.034,120.1973,1,1,1,7,0
67000370,安海里,1013,(六),0830,金華路正興街路口,22.98,120.191,1,1,1,7,0
67000350,海東里,1019,(五),1330,海環街,23.042,120.184,1,1,1,5,0
67000350,海東里,1023,(二),0830,海東三街,23.031,120.189,1,1,1,7,0
67000170,東壁里,1023,(二),1330,東壁里,23.287,120.135,1,1,1,5,0
67000340,玉皇里,1103,(六),0830,公園南路,22.989,120.16,1,3,0,5,0
67000350,溪頂里,1103,(六),1330,惠安街 ,22.989,120.16,1,1,1,12,0
67000320,仁和里,1114,(三),1330,仁和市場,22.9895,120.1609,2,3,0,12,0
67000320,後甲里,1114,(三),1330,裕農路,22.9895,120.1609,0,0,0,6,0
67000350,顯宮里,1204,(二),1330,工業三路,23.0378,120.1496,0,0,0,5,0
67000190,小新里,1218,(二),0830,小新營,23.1235,120.3137,1,1,1,5,0
