﻿行政區域代碼,里別,日期,經度,緯度
67000270,仁和里,0615,120.224226,22.9591394
67000330,大恩里,0615,120.2079953,22.9548154
67000330,大忠里,0615,120.2101595,22.9698014
67000270,成功里,0616,120.225308,22.9404559
67000270,成功里,0616,120.225308,22.9404559
67000310,大橋里,0617,120.2296358,23.0187454
67000270,仁和里,0617,120.224226,22.9591394
67000350,溪心里,0618,120.1849082,23.0509441
67000320,德光里,0618,120.2202587,22.981112
67000320,崇文里,0618,120.2296358,22.9677389
67000320,大學里,0618,120.2209801,22.9963981
67000320,崇學里,0618,120.2231441,22.9778231
67000340,北華里,0619,120.2040991,23.0008064
67000320,東智里,0619,120.2267506,22.9629737
67000320,崇明里,0619,120.2195374,22.9685104
67000320,崇德里,0619,120.2260293,22.9745344
67000190,坐駕里,0621,120.3003035,23.1233071
67000320,崇文里,0621,120.2296358,22.9677389
67000320,大福里,0621,120.2159306,22.9739636
67000270,成功里,0621,120.225308,22.9404559
67000270,成功里,0621,120.225308,22.9404559
67000320,大智里,0622,120.2332423,22.962286
67000320,東智里,0622,120.2267506,22.9629737
67000310,六合里,0622,120.2303571,23.0112118
67000270,成功里,0623,120.225308,22.9404559
67000270,成功里,0623,120.225308,22.9404559
67000350,海東里,0624,120.1863512,23.0412431
67000320,虎尾里,0624,120.2361273,22.9791309
67000320,莊敬里,0624,120.232521,22.9966645
67000320,莊敬里,0624,120.232521,22.9966645
67000320,大學里,0624,120.2209801,22.9963981
67000370,南廠里,0625,120.1956597,22.9907039
67000370,府前里,0625,120.1963328,22.9914479
67000320,崇誨里,0625,120.2256687,22.989711
67000270,保安里,0625,120.2310784,22.9231415
67000320,崇文里,0625,120.2296358,22.9677389
67000270,後壁里,0626,120.2426185,22.9475722
67000340,公園里,0626,120.2101595,23.0006781
67000320,東光里,0626,120.2303571,22.99242
67000320,東智里,0626,120.2267506,22.9629737
67000270,上崙里,0627,120.2599266,22.9385802
67000320,忠孝里,0627,120.218816,22.9773869
67000330,明德里,0627,120.200781,22.9710918
67000280,許厝里,0627,120.2995826,22.9658238
67000270,仁愛里,0627,120.2209801,22.9534423
67000270,仁和里,0627,120.224226,22.9591394
67000270,成功里,0628,120.225308,22.9404559
67000320,龍山里,0628,120.0954076,23.1260996
67000320,圍下里,0628,120.2148485,22.9919771
67000320,大智里,0628,120.2332423,22.962286
67000270,成功里,0629,120.225308,22.9404559
