Week,Town,次數
2015-01-19,東區,1
2015-05-18,北區,1
2015-05-18,東區,1
2015-05-25,安南區,1
2015-06-08,北區,1
2015-06-15,北區,1
2015-06-15,安南區,1
2015-06-22,北區,1
2015-06-22,東區,1
2015-06-29,北區,3
2015-06-29,安南區,3
2015-06-29,安定區,1
2015-07-06,北區,1
2015-07-06,安南區,5
2015-07-13,仁德區,1
2015-07-13,北區,9
2015-07-13,安南區,6
2015-07-13,安平區,1
2015-07-13,永康區,3
2015-07-20,中西區,2
2015-07-20,北區,7
2015-07-20,南區,1
2015-07-20,安南區,2
2015-07-20,安平區,3
2015-07-20,新化區,1
2015-07-20,東區,1
2015-07-27,中西區,5
2015-07-27,北區,7
2015-07-27,南區,4
2015-07-27,安南區,8
2015-07-27,安定區,1
2015-07-27,安平區,4
2015-07-27,東區,2
2015-07-27,永康區,7
2015-08-03,中西區,8
2015-08-03,北區,4
2015-08-03,南區,2
2015-08-03,安南區,6
2015-08-03,安定區,1
2015-08-03,安平區,4
2015-08-03,東區,1
2015-08-03,歸仁區,1
2015-08-03,永康區,7
2015-08-10,中西區,14
2015-08-10,仁德區,1
2015-08-10,北區,12
2015-08-10,南區,15
2015-08-10,善化區,3
2015-08-10,安南區,14
2015-08-10,安平區,9
2015-08-10,東區,7
2015-08-10,永康區,17
2015-08-10,麻豆區,2
2015-08-17,中西區,5
2015-08-17,仁德區,2
2015-08-17,北區,16
2015-08-17,南區,9
2015-08-17,善化區,6
2015-08-17,學甲區,1
2015-08-17,安南區,11
2015-08-17,安平區,9
2015-08-17,山上區,1
2015-08-17,新市區,2
2015-08-17,新營區,5
2015-08-17,東區,7
2015-08-17,東山區,1
2015-08-17,柳營區,2
2015-08-17,永康區,17
2015-08-17,白河區,1
2015-08-17,鹽水區,1
2015-08-17,麻豆區,2
2015-08-24,下營區,1
2015-08-24,中西區,7
2015-08-24,佳里區,2
2015-08-24,北區,12
2015-08-24,南區,6
2015-08-24,善化區,5
2015-08-24,學甲區,1
2015-08-24,安南區,2
2015-08-24,安定區,1
2015-08-24,安平區,4
2015-08-24,左鎮區,1
2015-08-24,新化區,4
2015-08-24,新市區,2
2015-08-24,新營區,2
2015-08-24,東區,5
2015-08-24,歸仁區,1
2015-08-24,永康區,10
2015-08-24,白河區,1
2015-08-24,西港區,2
2015-08-24,鹽水區,1
2015-08-24,麻豆區,1
2015-08-31,中西區,10
2015-08-31,仁德區,1
2015-08-31,佳里區,1
2015-08-31,六甲區,1
2015-08-31,北區,13
2015-08-31,南區,9
2015-08-31,善化區,1
2015-08-31,安南區,6
2015-08-31,安定區,1
2015-08-31,安平區,3
2015-08-31,後壁區,1
2015-08-31,新化區,2
2015-08-31,新營區,2
2015-08-31,東區,3
2015-08-31,永康區,12
2015-08-31,玉井區,1
2015-09-07,中西區,11
2015-09-07,北區,14
2015-09-07,南區,10
2015-09-07,安南區,2
2015-09-07,東區,4
2015-09-14,中西區,9
2015-09-14,北區,8
2015-09-14,南區,13
2015-09-14,安南區,4
2015-09-14,安平區,1
2015-09-14,東區,6
2015-09-14,永康區,2
2015-09-21,中西區,11
2015-09-21,北區,12
2015-09-21,南區,12
2015-09-21,安南區,8
2015-09-21,東區,9
2015-09-21,永康區,4
2015-09-28,中西區,12
2015-09-28,北區,8
2015-09-28,南區,11
2015-09-28,安南區,3
2015-09-28,安平區,4
2015-09-28,新化區,1
2015-09-28,東區,9
2015-09-28,永康區,2
2015-09-28,關廟區,1
2015-10-05,中西區,8
2015-10-05,仁德區,2
2015-10-05,北區,9
2015-10-05,南區,11
2015-10-05,善化區,1
2015-10-05,安南區,5
2015-10-05,安平區,7
2015-10-05,新化區,1
2015-10-05,東區,12
2015-10-05,永康區,10
2015-10-12,中西區,15
2015-10-12,仁德區,1
2015-10-12,北區,15
2015-10-12,南區,13
2015-10-12,安南區,15
2015-10-12,安平區,11
2015-10-12,新化區,2
2015-10-12,新市區,2
2015-10-12,東區,14
2015-10-12,歸仁區,2
2015-10-12,永康區,12
2015-10-12,麻豆區,4
2015-10-19,七股區,2
2015-10-19,中西區,20
2015-10-19,仁德區,4
2015-10-19,北區,19
2015-10-19,南區,26
2015-10-19,善化區,1
2015-10-19,安南區,17
2015-10-19,安定區,2
2015-10-19,安平區,18
2015-10-19,新化區,3
2015-10-19,東區,47
2015-10-19,歸仁區,3
2015-10-19,永康區,15
2015-10-26,中西區,21
2015-10-26,仁德區,1
2015-10-26,佳里區,3
2015-10-26,北區,45
2015-10-26,南區,21
2015-10-26,善化區,1
2015-10-26,安南區,17
2015-10-26,安平區,13
2015-10-26,新化區,2
2015-10-26,東區,66
2015-10-26,東山區,1
2015-10-26,歸仁區,4
2015-10-26,永康區,41
2015-10-26,玉井區,6
2015-10-26,關廟區,1
2015-10-26,麻豆區,1
2015-11-02,七股區,2
2015-11-02,中西區,7
2015-11-02,仁德區,2
2015-11-02,北區,23
2015-11-02,南區,30
2015-11-02,安南區,24
2015-11-02,安平區,17
2015-11-02,新化區,1
2015-11-02,東區,52
2015-11-02,歸仁區,8
2015-11-02,永康區,26
2015-11-02,玉井區,7
2015-11-02,關廟區,2
2015-11-09,中西區,6
2015-11-09,仁德區,5
2015-11-09,北區,15
2015-11-09,南區,21
2015-11-09,善化區,2
