年月,區域別,人口數,人口密度
115.4,總計,1849762,844.0030951978669
115.4,新營區,74329,1928.6896773624364
115.4,鹽水區,23476,449.3401345570432
115.4,白河區,24779,196.0292584288863
115.4,柳營區,19738,322.02751052732043
115.4,後壁區,20699,286.61472273878445
115.4,東山區,18341,146.8245518252803
115.4,麻豆區,42743,791.9124622043042
115.4,下營區,21620,644.8130131736312
115.4,六甲區,20795,307.8592567260475
115.4,官田區,20518,289.8214994498222
115.4,大內區,8391,119.33866666666667
115.4,佳里區,58201,1494.5483306027909
115.4,學甲區,24334,450.6972342147618
115.4,西港區,24800,734.4535724650988
115.4,七股區,20393,185.13979220911276
115.4,將軍區,17529,417.559957693737
115.4,北門區,9365,212.35683203969134
115.4,新化區,41883,674.9019866930721
115.4,善化區,53948,975.3804486373999
115.4,新市區,38282,800.7178474615977
115.4,安定區,29723,950.5276622961305
115.4,山上區,6752,242.1981490781261
115.4,玉井區,12622,165.2825464668924
115.4,楠西區,8335,76.02734977871343
115.4,南化區,7549,44.01241139506926
115.4,左鎮區,4084,54.5242148125897
115.4,仁德區,77583,1528.2352106905355
115.4,歸仁區,71055,1273.5856665824242
115.4,關廟區,33084,616.7635758268349
115.4,龍崎區,3208,50.0613282481344
115.4,永康區,235907,5857.361708044385
115.4,東區,180118,13426.011508989535
115.4,南區,118641,4350.908204091961
115.4,北區,125273,12006.229633889208
115.4,安南區,204763,1910.0741033715915
115.4,安平區,71743,6483.016003542286
115.4,中西區,75158,12006.070287539937
115.3,總計,1850624,844.3964056172941
115.3,新營區,74402,1930.5838821337568
115.3,鹽水區,23515,450.08661033007627
115.3,白河區,24807,196.2507693549127
115.3,柳營區,19778,322.68011466254654
115.3,後壁區,20731,287.0578200443374
115.3,東山區,18355,146.9366255249452
115.3,麻豆區,42792,792.8202999940712
115.3,下營區,21648,645.6481086578524
115.3,六甲區,20825,308.30339126328147
115.3,官田區,20515,289.7791237553906
115.3,大內區,8401,119.48088888888888
115.3,佳里區,58225,1495.1646286034174
115.3,學甲區,24367,451.3084370062917
115.3,西港區,24822,735.1051038600274
115.3,七股區,20415,185.33952130383153
115.3,將軍區,17554,418.1554850451172
115.3,北門區,9371,212.49288553592606
115.3,新化區,41916,675.4337481609916
115.3,善化區,53956,975.5250887276554
115.3,新市區,38291,800.9060941735551
115.3,安定區,29748,951.3271506236009
115.3,山上區,6767,242.7362077623933
115.3,玉井區,12627,165.34802045931315
115.3,楠西區,8358,76.23714330539734
115.3,南化區,7556,44.05322300982161
115.3,左鎮區,4092,54.63102032642435
115.3,仁德區,77531,1527.210911153834
115.3,歸仁區,70988,1272.3847624988125
115.3,關廟區,33116,617.3601310930197
115.3,龍崎區,3205,50.014512791543254
115.3,永康區,235936,5858.081752339523
115.3,東區,180209,13432.794656966516
115.3,南區,118687,4352.595156978301
115.3,北區,125307,12009.488211615871
115.3,安南區,204787,1910.2979806271549
115.3,安平區,71734,6482.202723584215
115.3,中西區,75290,12027.156549520767
115.2,總計,1851244,844.679297102265
115.2,新營區,74481,1932.633774968473
115.2,鹽水區,23569,451.1201921696605
115.2,白河區,24858,196.65423568446084
115.2,柳營區,19787,322.8269505929724
115.2,後壁區,20755,287.39014302350216
115.2,東山區,18408,147.36090453081945
115.2,麻豆區,42796,792.8944092013992
115.2,下營區,21694,647.0200512390729
115.2,六甲區,20826,308.31819574785595
115.2,官田區,20491,289.440118199937
115.2,大內區,8412,119.63733333333333
115.2,佳里區,58250,1495.8066056874034
115.2,學甲區,24339,450.78984069832694
115.2,西港區,24834,735.4604846208977
115.2,七股區,20471,185.84792263584302
115.2,將軍區,17566,418.4413381737797
115.2,北門區,9395,213.03709952086496
115.2,新化區,41898,675.1436964512174
115.2,善化區,53935,975.1454084907349
115.2,新市區,38259,800.2367725310397
115.2,安定區,29729,950.7195394947233
115.2,山上區,6772,242.915560657149
115.2,玉井區,12648,165.62301122748022
115.2,楠西區,8359,76.24626476307925
115.2,南化區,7563,44.09403462457396
115.2,左鎮區,4094,54.65772170488301
115.2,仁德區,77479,1526.1866116171327
115.2,歸仁區,70738,1267.903777112202
115.2,關廟區,33135,617.714335782317
115.2,龍崎區,3212,50.1237488569226
115.2,永康區,235963,5858.752138407411
115.2,東區,180556,13458.66006738424
115.2,南區,118889,4360.003080522662
115.2,北區,125370,12015.526164462335
115.2,安南區,204659,1909.1039685974836
115.2,安平區,71477,6458.979062559301
115.2,中西區,75577,12073.003194888179
115.1,總計,1851783,844.9252301835542
115.1,新營區,74497,1933.0489431375295
115.1,鹽水區,23611,451.92408915600384
115.1,白河區,24890,196.90739102849105
115.1,柳營區,19819,323.3490339011533
115.1,後壁區,20793,287.9163210738463
115.1,東山區,18445,147.65709930850528
115.1,麻豆區,42820,793.3390644453666
115.1,下營區,21710,647.4972486586279
115.1,六甲區,20838,308.4958495627495
115.1,官田區,20509,289.69437236652715
115.1,大內區,8415,119.68
115.1,佳里區,58263,1496.1404337710762
115.1,學甲區,24354,451.06766014902234
115.1,西港區,24834,735.4604846208977
115.1,七股區,20508,186.1838306587792
115.1,將軍區,17586,418.91776005488384
115.1,北門區,9415,213.49061117498067
115.1,新化區,41896,675.1114684834647
115.1,善化區,53939,975.2177285358626
115.1,新市區,38271,800.487768146983
115.1,安定區,29757,951.6149664214903
115.1,山上區,6784,243.34600760456274
115.1,玉井區,12661,165.79324360777412
115.1,楠西區,8369,76.33747933989835
115.1,南化區,7579,44.18731831543647
115.1,左鎮區,4098,54.71112446180034
115.1,仁德區,77480,1526.2063096851462
115.1,歸仁區,70634,1266.0396871913722
115.1,關廟區,33156,618.1058251757507
115.1,龍崎區,3219,50.232984922301945
115.1,永康區,235853,5856.020935908608
115.1,東區,180689,13468.573899042905
115.1,南區,118978,4363.266967628841
115.1,北區,125431,12021.372436266054
115.1,安南區,204588,1908.4416650497753
115.1,安平區,71407,6452.653551774306
115.1,中西區,75687,12090.575079872206
114.12,總計,1852477,845.241886136086
114.12,新營區,74493,1932.9451510952654
114.12,鹽水區,23635,452.3834588624858
114.12,白河區,24948,197.3662350895458
114.12,柳營區,19831,323.54481514172113
114.12,後壁區,20840,288.5671202413772
114.12,東山區,18490,148.0173362002853
114.12,麻豆區,42873,794.3210114424616
114.12,下營區,21742,648.4516434977378
114.12,六甲區,20880,309.11763791487715
114.12,官田區,20527,289.9486265331173
114.12,大內區,8427,119.85066666666667
114.12,佳里區,58328,1497.8095741894397
114.12,學甲區,24365,451.2713944128656
114.12,西港區,24811,734.779338162563
114.12,七股區,20493,186.04765173056182
114.12,將軍區,17598,419.20361318354634
114.12,北門區,9436,213.9667984118022
114.12,新化區,41932,675.6915719030131
114.12,善化區,53888,974.2956479604843
114.12,新市區,38279,800.6550985576118
114.12,安定區,29783,952.4464342820595
114.12,山上區,6796,243.77645455197646
114.12,玉井區,12674,165.963475988068
114.12,楠西區,8392,76.54727286658226
114.12,南化區,7606,44.34473454376696
114.12,左鎮區,4095,54.67107239411234
114.12,仁德區,77496,1526.5214787733619
114.12,歸仁區,70574,1264.9642506985856
114.12,關廟區,33198,618.8888039626183
114.12,龍崎區,3234,50.46706220525768
114.12,永康區,235805,5854.829138454586
114.12,東區,180856,13481.022093681982
114.12,南區,119121,4368.511190732028
114.12,北區,125439,12022.139160437033
114.12,安南區,204534,1907.9379412247579
114.12,安平區,71256,6439.008521366672
114.12,中西區,75802,12108.94568690096
114.11,總計,1853368,845.6484285765845
114.11,新營區,74516,1933.5419553382842
114.11,鹽水區,23674,453.12993463551885
114.11,白河區,24967,197.51654607506373
114.11,柳營區,19867,324.13215886342465
114.11,後壁區,20895,289.32869373529644
114.11,東山區,18530,148.33754677075646
114.11,麻豆區,42907,794.9509397047489
114.11,下營區,21765,649.1376147883481
114.11,六甲區,20908,309.53216348296223
114.11,官田區,20546,290.2170059311847
114.11,大內區,8426,119.83644444444444
114.11,佳里區,58396,1499.5557518578817
114.11,學甲區,24367,451.3084370062917
114.11,西港區,24833,735.4308695574917
114.11,七股區,20510,186.20198784920817
114.11,將軍區,17638,420.1564569457546
114.11,北門區,9469,214.71509264109315
114.11,新化區,41930,675.6593439352605
114.11,善化區,53868,973.9340477348458
114.11,新市區,38300,801.0943408855125
