測站代碼,測站名稱,要素名稱,起始時間,結束時間,實際資料筆數,應有資料筆數,資料存續%
467410,臺南,平均測站氣壓(hPa),2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均海平面氣壓(hPa),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最高測站氣壓(hPa),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最高測站氣壓時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,最低測站氣壓(hPa),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最低測站氣壓時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均乾球氣溫(℃),2018/01/01,2018/12/31,365,365,100%
467410,臺南,絕對最高氣溫(℃),2018/01/01,2018/12/31,365,365,100%
467410,臺南,絕對最高氣溫時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,絕對最低氣溫(℃),2018/01/01,2018/12/31,365,365,100%
467410,臺南,絕對最低氣溫時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均露點溫度(℃),2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均相對濕度(%),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最小相對濕度(%),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最小相對濕度時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均風風速(m/s),2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均風風向(360°),2018/01/01,2018/12/31,365,365,100%
467410,臺南,瞬間極大風風速(m/s),2018/01/01,2018/12/31,365,365,100%
467410,臺南,瞬間極大風風向(360°),2018/01/01,2018/12/31,365,365,100%
467410,臺南,瞬間極大風發生時間,2018/01/01,2018/12/31,365,365,100%
467410,臺南,累積降雨量(mm),2018/01/01,2018/12/31,365,365,100%
467410,臺南,累積降雨時數(hr),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最大10十分鐘降雨量(mm),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最大10分鐘降雨量起始時間,2018/01/01,2018/12/31,111,365,30%
467410,臺南,最大60分鐘降雨量(mm),2018/01/01,2018/12/31,365,365,100%
467410,臺南,最大60分鐘降雨量起始時間,2018/01/01,2018/12/31,111,365,30%
467410,臺南,累積日照時數(hr),2018/01/01,2018/12/31,365,365,100%
467410,臺南,日照率(%),2018/01/01,2018/12/31,365,365,100%
467410,臺南,全天空日射量(MJ/m2),2018/01/01,2018/12/31,365,365,100%
467410,臺南,平均能見度(km),2018/01/01,2018/12/31,365,365,100%
467410,臺南,A型蒸發量(mm),2018/01/01,2018/12/31,0,365,0%
467410,臺南,紫外線指數,2018/01/01,2018/12/31,362,365,99%
467410,臺南,紫外線指數時間,2018/01/01,2018/12/31,362,365,99%
467410,臺南,平均雲量(10th),2018/01/01,2018/12/31,365,365,100%
467410,臺南,地中溫度0cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度5cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度10cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度20cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度30cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度50cm(℃),2018/01/01,2018/12/31,0,365,0%
467410,臺南,地中溫度100cm(℃),2018/01/01,2018/12/31,0,365,0%
